sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels,errors
RFFG0280-B-SS-CYAN-RBCRSBA-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Single Sided With Cyan Sleeve and Rhino Cross Base Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",3.35,1,"UK VAT","Not Visible Individually",55.79,,,,small-fibreglass-bold-flag-2-8m-single-sided-with-cyan-sleeve-and-rhino-cross-base-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Single Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Cross Base,flag_sleeve=Cyan ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-DS-LG-RBLWA30-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Double Sided With Lime Green Sleeve and Rhino Large Water/Sand Base Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",4.8,1,"UK VAT","Not Visible Individually",88.19,,,,small-fibreglass-bold-flag-2-8m-double-sided-with-lime-green-sleeve-and-rhino-large-water-sand-base-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Double Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Large Water/Sand Base,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-SS-LG-RBLWA30-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Single Sided With Lime Green Sleeve and Rhino Large Water/Sand Base Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",3.35,1,"UK VAT","Not Visible Individually",59.79,,,,small-fibreglass-bold-flag-2-8m-single-sided-with-lime-green-sleeve-and-rhino-large-water-sand-base-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Single Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Large Water/Sand Base,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-DS-LG-RBWHEBA-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Double Sided With Lime Green Sleeve and Rhino Car Wheel Base Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",4.8,1,"UK VAT","Not Visible Individually",85.19,,,,small-fibreglass-bold-flag-2-8m-double-sided-with-lime-green-sleeve-and-rhino-car-wheel-base-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Double Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Car Wheel Base,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-SS-LG-RBWHEBA-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Single Sided With Lime Green Sleeve and Rhino Car Wheel Base Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",3.35,1,"UK VAT","Not Visible Individually",56.79,,,,small-fibreglass-bold-flag-2-8m-single-sided-with-lime-green-sleeve-and-rhino-car-wheel-base-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Single Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Car Wheel Base,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-DS-LG-RBGRSPK-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Double Sided With Lime Green Sleeve and Rhino Ground Spike Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",4.8,1,"UK VAT","Not Visible Individually",76.64,,,,small-fibreglass-bold-flag-2-8m-double-sided-with-lime-green-sleeve-and-rhino-ground-spike-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Double Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Ground Spike,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-SS-LG-RBGRSPK-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Single Sided With Lime Green Sleeve and Rhino Ground Spike Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",3.35,1,"UK VAT","Not Visible Individually",48.24,,,,small-fibreglass-bold-flag-2-8m-single-sided-with-lime-green-sleeve-and-rhino-ground-spike-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Single Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Ground Spike,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-DS-LG-RBSCSPK-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Double Sided With Lime Green Sleeve and Rhino Screw Spike Base Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",4.8,1,"UK VAT","Not Visible Individually",77.19,,,,small-fibreglass-bold-flag-2-8m-double-sided-with-lime-green-sleeve-and-rhino-screw-spike-base-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Double Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Screw Spike Base,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-SS-LG-RBSCSPK-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Single Sided With Lime Green Sleeve and Rhino Screw Spike Base Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",3.35,1,"UK VAT","Not Visible Individually",48.79,,,,small-fibreglass-bold-flag-2-8m-single-sided-with-lime-green-sleeve-and-rhino-screw-spike-base-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Single Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Screw Spike Base,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-SS-LG-RBSWA20-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Single Sided With Lime Green Sleeve and Rhino Small Water/Sand Base Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",3.35,1,"UK VAT","Not Visible Individually",56.79,,,,small-fibreglass-bold-flag-2-8m-single-sided-with-lime-green-sleeve-and-rhino-small-water-sand-base-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Single Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Small Water/Sand Base,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
RFFG0280-B-SS-LG-RBFPLT400-PQ1,,"Fibreglass Flags",simple,,base,"Small Fibreglass Bold Flag 2.8m Single Sided With Lime Green Sleeve and Rhino Metal Steel Plate Base Printed Quantity 1","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>
<p>Curve Flags are a great way of promoting your business on busy main roads, high streets and also trade shows. The use of vibrant colours and snappy slogans entice customers and make them pay attention to whatever you may want to sell. <br /> <br /> Curve Flags can come in a variety of sizes. After being printed, the products come in an easy to assemble kit that is simple for the customer to put together. The use of robust, strong aluminium frames means that the flags are durable and able to endure windy or inclement weather. <br /> <br /> Curve flag kits also come with handy carry bags so that they can be easily transported from place to place and set up as they are required. The flags also come with a variety of bases, facilitating the flags' assembly in any location.</p>","<ul>
<li>Available in 3 shapes.</li>
<li>Choose from 7 base options.</li>
<li>Reinforced yet lightweight aluminium pole.</li>
<li>Available in 4 heights: 2.8m, 3.4m, 4.5m, 5.6m</li>
<li>Printed on Knitted Polyester.</li>
<li>Image reads correctly on one side with reverse image as show through.</li>
<li>Double Sided Print option available.</li>
<li>Indoor & Outdoor Use.</li>
<li>All products individually packaged in a carton.</li>
</ul>",3.35,1,"UK VAT","Not Visible Individually",57.29,,,,small-fibreglass-bold-flag-2-8m-single-sided-with-lime-green-sleeve-and-rhino-metal-steel-plate-base-printed-quantity-1,,,,,,,,,,,,"07/02/2019, 12:15","07/02/2019, 12:15",,,"Block after Info Column",,,,,,,,,,,"Use config",,"printed_sides=Single Sided,print_qty=1,printed_pages=364,material=Paper,custom_measurement=No,flag_size=2.8m,flag_base=Rhino Metal Steel Plate Base,flag_sleeve=Lime Green ,flag_shape=Bold,recommended=No,recommended_product=No",99999,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'flag_sleeve' attribute contains incorrect value, see acceptable values on settings specified for Admin"
